popular_ranking,artist_name,decade,genre
958,slayer,80's,metal
959,dire straits,80's,rock
960,exuma,70's,folk
961,yes,70's,rock
962,r.e.m.,80's,rock
963,smashing pumpkins,90's,rock
964,echo & the bunnymen,80's,rock
965,amon düül ii,70's,rock
966,rush,70's,rock
968,judas priest,80's,metal
969,the shins,00's,pop
970,björk,00's,pop
971,tortoise,90's,rock
972,daughters,10's,rock
973,yo la tengo,90's,rock
974,phoenix,00's,pop
975,sun kil moon,00's,rock
976,pearl jam,90's,rock
977,flying lotus,00's,electronic
978,destroyer,10's,pop
979,slipknot,00's,metal
980,bladee,10's,rock
982,janelle monáe,10's,pop
983,a$ap rocky,10's,hip-hop
984,father john misty,10's,rock
985,magnolia electric co.,00's,rock
986,boris,00's,metal
987,opeth,00's,metal
988,judas priest,70's,metal
989,steely dan,70's,rock
990,the shins,00's,pop
991,belle & sebastian,90's,pop
992,iron maiden,00's,metal
993,elliott smith,90's,folk
994,guns n' roses,90's,rock
995,outkast,90's,hip-hop
996,the verve,90's,rock
