popular_albuns_rank,artist_band,decade,musical_genre,total_awards_nominations,uk number 1's,million_sales
295,lorde,10's,pop,0,0,0
297,joni mitchell,70's,folk,16,0,0
298,dinosaur,80's,rock,0,0,0
301,the jesus and mary chain,80's,rock,0,0,0
303,iggy and the stooges,70's,rock,0,0,0
305,the notorious b.i.g.,90's,hip-hop,0,0,0
306,billie eilish,10's,pop,0,0,0
308,air,90's,pop,0,0,0
310,dead kennedys,80's,rock,0,0,0
312,genesis,70's,rock,0,0,100
314,opeth,00's,metal,0,0,0
316,brian eno,70's,electronic,0,0,0
317,rush,80's,rock,0,0,0
321,grimes,10's,electronic,0,0,0
322,muse,00's,rock,0,0,0
326,gang of four,70's,rock,0,0,0
327,beck,90's,rock,0,0,0
332,brand new,00's,rock,0,0,0
333,beastie boys,80's,hip-hop,10,0,0
340,u2,80's,rock,46,7,150
342,fka twigs,10's,pop,0,0,0
343,phoebe bridgers,10's,folk,0,0,0
345,death,90's,metal,0,0,0
346,linkin park,00's,rock,0,0,100
348,godspeed you! black emperor,00's,rock,0,0,0
349,carly rae jepsen,10's,pop,0,0,0
352,van morrison,60's,folk,7,0,0
353,mount eerie,10's,folk,0,0,0
356,electric wizard,00's,metal,0,0,0
357,converge,00's,metal,0,0,0
360,soundgarden,90's,rock,0,0,0
363,little simz,10's,hip-hop,0,0,0
365,funkadelic,70's,rock,0,0,0
366,kero kero bonito,10's,pop,0,0,0
367,panda bear,00's,rock,0,0,0
368,patti smith,70's,rock,4,0,0
370,my chemical romance,00's,rock,0,0,0
372,ramones,70's,rock,0,0,0
376,vampire weekend,00's,rock,0,0,0
377,fugazi,90's,rock,0,0,0
379,the national,00's,rock,0,0,0
380,duster,90's,rock,0,0,0
384,yo la tengo,90's,rock,0,0,0
388,mac demarco,10's,pop,0,0,0
393,violent femmes,80's,rock,0,0,0
394,kyuss,90's,rock,0,0,0
397,bruce springsteen,70's,rock,50,0,150
398,deerhunter,10's,rock,0,0,0
400,blur,90's,rock,0,0,0
401,suicide,70's,rock,0,0,0
402,built to spill,90's,rock,0,0,0
403,vince staples,10's,hip-hop,0,0,0
406,injury reserve,10's,hip-hop,0,0,0
412,avey tare and panda bearavey tarepanda bear,00's,rock,0,0,0
413,against all logic,10's,electronic,0,0,0
417,franz ferdinand,00's,rock,0,0,0
418,king gizzard and the lizard wizard,10's,rock,0,0,0
420,childish gambino,10's,soul_funk,0,0,0
425,stevie wonder,70's,soul_funk,74,2,100
426,oneohtrix point never,10's,electronic,0,0,0
428,ride,90's,rock,0,0,0
429,neil young with crazy horseneil youngcrazy horse,60's,rock,0,0,0
430,ween,90's,rock,0,0,0
435,jethro tull,70's,rock,0,0,0
438,the antlers,00's,rock,0,0,0
442,herbie hancock,70's,jazz,0,0,0
443,public enemy,80's,hip-hop,6,0,0
445,idles,10's,rock,0,0,0
446,the kinks,60's,rock,0,0,0
447,the dismemberment plan,90's,rock,0,0,0
451,denzel curry x kenny beatsdenzel currykenny beats,10's,hip-hop,0,0,0
452,nick cave and the bad seeds,90's,rock,0,0,0
453,bowie,70's,rock,0,0,0
455,george harrison,70's,rock,0,0,0
456,deep purple,70's,rock,0,0,0
459,boris,00's,rock,0,0,0
460,charles mingus,50's,jazz,0,0,0
463,yves tumor,10's,rock,0,0,0
464,the killers,00's,rock,0,0,0
466,dua lipa,10's,pop,0,0,0
467,captain beefheart and his magic band,60's,rock,0,0,0
469,dr. dre,90's,hip-hop,26,0,0
470,mac miller,10's,soul_funk,0,0,0
474,lil ugly mane,10's,hip-hop,0,0,0
475,this heat,80's,rock,0,0,0
479,big black,80's,rock,0,0,0
481,unwound,00's,rock,0,0,0
485,mastodon,00's,metal,0,0,0
486,neu!,70's,rock,0,0,0
487,the mothers of invention,60's,rock,0,0,0
488,파란노을 [parannoul],10's,rock,0,0,0
489,the xx,00's,pop,0,0,0
494,squid,10's,rock,0,0,0
499,black flag,80's,rock,0,0,0
500,simon and garfunkel,70's,pop,0,0,0
501,john lennon / plastic ono band,70's,rock,0,0,0
504,jessie ware,10's,pop,0,0,0
506,agalloch,00's,metal,0,0,0
507,sun kil moon,10's,folk,0,0,0
509,faith no more,90's,rock,0,0,0
513,hüsker dü,80's,rock,0,0,0
514,freddie gibbs & the alchemist,10's,hip-hop,0,0,0
519,silk sonic,10's,soul_funk,0,0,0
520,mobb deep,90's,hip-hop,0,0,0
523,broken social scene,00's,rock,0,0,0
526,cream,60's,rock,1,0,0
527,explosions in the sky,00's,rock,0,0,0
532,pulp,90's,rock,0,0,0
535,james blake,10's,pop,0,0,0
537,minutemen,80's,rock,0,0,0
545,kid cudi,00's,pop,0,0,0
546,devo,70's,rock,0,0,0
547,crystal castles,00's,electronic,0,0,0
548,porcupine tree,00's,rock,0,0,0
549,bloc party,00's,rock,0,0,0
551,steely dan,70's,rock,0,0,0
552,coil,00's,electronic,0,0,0
557,rina sawayama,10's,pop,0,0,0
558,low,90's,rock,0,0,0
559,clipping.,10's,hip-hop,0,0,0
560,ulver,90's,metal,0,0,0
564,dream theater,90's,metal,0,0,0
565,parquet courts,10's,rock,0,0,0
571,c418,10's,electronic,0,0,0
572,prodigy,90's,electronic,0,0,0
573,red house painters,90's,rock,0,0,0
575,judas priest,90's,metal,0,0,0
578,the replacements,80's,rock,0,0,0
582,deltron 3030,00's,hip-hop,0,0,0
584,n.w.a,80's,hip-hop,0,0,0
585,comus,70's,folk,0,0,0
586,공중도둑 [mid-air thief],10's,rock,0,0,0
589,king gizzard & the lizard wizard,10's,rock,0,0,0
591,iggy pop,70's,rock,0,0,0
597,jefferson airplane,60's,rock,0,0,0
600,the knife,00's,electronic,0,0,0
604,drake,10's,pop,0,0,170
607,mogwai,90's,rock,0,0,0
609,pj harvey,10's,rock,0,0,0
610,lauryn hill,90's,soul_funk,0,0,0
611,mos def,90's,hip-hop,0,0,0
612,creedence clearwater revival,70's,rock,0,1,0
613,ecco2k,10's,pop,0,0,0
618,snoop doggy dogg,90's,hip-hop,0,0,0
624,janelle monáe,10's,pop,0,0,0
629,galaxie 500,80's,rock,0,0,0
630,jay-z,00's,soul_funk,77,4,125
637,candy claws,10's,rock,0,0,0
642,angelo badalamenti,90's,jazz,0,0,0
644,amy winehouse,00's,pop,0,0,0
645,the avalanches,10's,rock,0,0,0
646,mitski,10's,rock,0,0,0
647,boredoms,90's,rock,0,0,0
649,tim hecker,10's,electronic,0,0,0
650,death cab for cutie,00's,rock,0,0,0
652,primal scream,90's,rock,0,0,0
653,the dave brubeck quartet,50's,jazz,0,0,0
654,guided by voices,90's,rock,0,0,0
660,pharoah sanders,60's,jazz,0,0,0
661,mr. bungle,90's,rock,0,0,0
662,of montreal,00's,rock,0,0,0
664,a$ap rocky,10's,hip-hop,0,0,0
666,anderson .paak,10's,soul_funk,0,0,0
667,viktor vaughn,00's,hip-hop,0,0,0
669,robert wyatt,70's,rock,0,0,0
671,autechre,90's,electronic,0,0,0
676,mayhem,90's,metal,0,0,0
678,isis,00's,metal,0,0,0
681,refused,90's,rock,0,0,0
682,bauhaus,80's,rock,0,0,0
684,pantera,90's,metal,0,0,0
685,glenn branca,80's,rock,0,0,0
