popular_ranking,artist_name,release_date,genre
813,ween,2003,rock
814,ramones,1977,rock
815,lou reed,1973,rock
816,bob dylan,1967,rock
817,the pink floyd,1969,rock
818,andrew jackson jihad,2007,rock
819,queen,1974,rock
820,pantera,1990,metal
821,paul simon,1986,rock
822,weatherday,2019,rock
823,the strokes,2011,rock
824,wire,1979,rock
825,fugazi,2001,rock
826,sonic youth,1995,rock
827,danny brown,2013,hip-hop
828,porcupine tree,2007,rock
829,ariana grande,2019,pop
830,venetian snares,2005,electronic
831,alt-j,2012,pop
832,kali uchis,2018,soul_funk
833,gorillaz,2020,pop
834,ミドリ [midori],2008,rock
835,death,1993,metal
836,vince staples,2015,hip-hop
837,the modern lovers,1976,rock
838,fleet foxes,2017,folk
839,xiu xiu,2019,electronic
840,mazzy star,1993,rock
841,grimes,2020,pop
842,bruce springsteen,1984,rock
843,thom yorke,2006,pop
844,pj harvey,1993,rock
845,bark psychosis,1994,rock
846,dr. dre,1999,hip-hop
847,st. vincent,2011,rock
848,d'angelo,2000,soul_funk
850,tortoise,1996,rock
851,rush,1978,rock
852,lil ugly mane,2021,rock
853,darkthrone,1994,metal
854,gojira,2005,metal
855,judas priest,1982,metal
856,mastodon,2006,metal
857,syd barrett,1970,rock
858,genesis,1971,rock
859,kyuss,1992,rock
860,tool,2019,metal
861,blink-182,1999,rock
862,xxxtentacion,2017,rock
863,carly rae jepsen,2019,pop
864,nick cave and the bad seeds,1988,rock
865,beck,1994,rock
866,boards of canada,2013,electronic
867,olivia rodrigo,2021,pop
868,alice coltrane featuring pharoah sanders,1971,jazz
869,led zeppelin,1979,rock
870,pil,1979,rock
871,gorillaz,2018,electronic
872,red house painters,1993,rock
873,dio,1983,metal
874,porcupine tree,2005,rock
875,the caretaker,2011,electronic
876,soft machine,1970,rock
877,pixies,1991,rock
878,king geedorah,2003,hip-hop
879,the beach boys,1971,rock
880,weezer,2016,rock
881,mort garson,1976,pop
882,genesis owusu,2021,soul_funk
883,faith no more,1989,metal
884,drake,2016,pop
885,the brave little abacus,2010,rock
886,king krule,2020,rock
887,sly & the family stone,1971,soul_funk
888,melvins,1993,metal
889,paul & linda mccartneypaul mccartneylinda mccartney,1971,rock
890,bruce springsteen,1978,rock
891,siouxsie and the banshees,1981,rock
892,depeche mode,1986,electronic
893,scott engel,1969,pop
894,death,1987,metal
895,david bowie,2013,rock
896,mac demarco,2017,pop
897,common,2005,hip-hop
898,new order,1989,electronic
899,prince,1982,soul_funk
900,kate bush,1980,pop
901,serge gainsbourg,1971,pop
902,billie eilish,2021,pop
903,rainbow,1976,rock
904,mike oldfield,1973,rock
905,faust,1971,rock
906,fiona apple,1996,rock
907,korn,1994,metal
908,queens of the stone age,2007,rock
909,tim hecker,2006,electronic
910,autechre,1994,electronic
911,arctic monkeys,2011,rock
912,the war on drugs,2014,rock
913,alice in chains,1995,rock
914,thundercat,2017,soul_funk
915,joanna newsom,2004,folk
916,j. cole,2014,hip-hop
917,the who,1967,rock
918,st. vincent,2014,rock
919,morbid angel,1989,metal
920,william basinski,2002,electronic
921,cannibal ox,2001,hip-hop
922,eminem,2017,pop
923,roxy music,1973,rock
924,"tyler, the creator",2009,hip-hop
925,the chameleons,1983,rock
926,taylor swift,2014,electronic
927,bob dylan,1969,rock
928,the cars,1978,rock
929,sweet trip,2021,pop
930,oneohtrix point never,2015,electronic
931,bob dylan,1964,folk
932,de la soul,1989,hip-hop
933,the weeknd,2016,soul_funk
934,weezer,2021,rock
935,swans,1984,rock
936,elvis costello,1977,rock
937,have a nice life,2014,rock
938,king gizzard & the lizard wizard,2014,rock
939,brand new,2003,rock
940,nine inch nails,2005,rock
941,lcd soundsystem,2017,rock
942,drake,2018,pop
943,rush,1980,rock
944,neu!,1975,rock
945,eminem,2018,pop
946,wilco,1999,rock
947,bonnie 'prince' billy,1999,folk
948,a$ap rocky,2015,hip-hop
949,cure,1992,rock
950,queens of the stone age,1998,rock
951,cocteau twins,1983,rock
952,moby,1999,electronic
953,eminem,2004,pop
954,r.e.m.,1984,rock
955,drive like jehu,1994,rock
956,jay-z,2003,hip-hop
957,sonic-youth,1985,rock
958,slayer,1983,metal
959,dire straits,1985,rock
960,exuma,1970,folk
961,yes,1974,rock
962,r.e.m.,1987,rock
963,smashing pumpkins,1991,rock
964,echo & the bunnymen,1984,rock
965,amon düül ii,1970,rock
966,rush,1977,rock
968,judas priest,1980,metal
969,the shins,2003,pop
970,björk,2007,pop
971,tortoise,1998,rock
972,daughters,2010,rock
973,yo la tengo,1993,rock
974,phoenix,2009,pop
975,sun kil moon,2003,rock
976,pearl jam,1994,rock
977,flying lotus,2008,electronic
978,destroyer,2011,pop
979,slipknot,2001,metal
980,bladee,2016,rock
982,janelle monáe,2018,pop
983,a$ap rocky,2018,hip-hop
984,father john misty,2017,rock
985,magnolia electric co.,2003,rock
986,boris,2003,metal
987,opeth,2002,metal
988,judas priest,1976,metal
989,steely dan,1972,rock
990,the shins,2001,pop
991,belle & sebastian,1998,pop
992,iron maiden,2000,metal
993,elliott smith,1994,folk
994,guns n' roses,1991,rock
995,outkast,1994,hip-hop
996,the verve,1997,rock
