artist_name,year,popularity,genre
girls aloud,2012,49,pop
rihanna,2006,70,pop
kanye west,2005,73,hip-hop
dem franchize boyz,2006,60,pop
evanescence,2006,65,metal
chingy,2006,62,pop
nickelback,2005,70,rock
fall out boy,2005,74,rock
leona lewis,2007,57,pop
t.i.,2006,64,pop
ludacris,2006,62,pop
nick lachey,2006,37,pop
jibbs,2006,56,pop
arctic monkeys,2006,72,rock
rascal flatts,2006,0,country
beyoncé,2006,45,pop
keyshia cole,2005,72,pop
lily allen,2006,68,pop
ne-yo,2006,67,pop
jojo,2006,48,pop
mary j. blige,2005,64,pop
bubba sparxxx,2005,62,pop
amy winehouse,2006,63,soul
rascal flatts,2006,69,country
red hot chili peppers,2006,76,rock
scissor sisters,2006,63,rock
ne-yo,2006,75,pop
hinder,2019,35,rock
the raconteurs,2006,56,rock
the fratellis,2006,68,rock
fort minor,2005,42,rock
the pussycat dolls,2005,67,pop
panic! at the disco,2005,70,rock
james blunt,2005,67,pop
christina aguilera,2006,63,pop
westlife,2006,0,pop
keane,2006,59,pop
orson,2006,46,pop
t-pain,2005,0,pop
kt tunstall,2005,64,pop
natasha bedingfield,2004,2,pop
razorlight,2006,67,rock
james morrison,2006,64,pop
snow patrol,2006,35,rock
the fray,2005,79,pop
sandi thom,2006,61,pop
my chemical romance,2006,76,rock
razorlight,2006,59,rock
the all-american rejects,2005,65,rock
james morrison,2006,49,pop
chris brown,2005,69,pop
p!nk,2006,0,pop
the kooks,2006,73,rock
leona lewis,2007,75,pop
rihanna,2008,81,pop
britney spears,2007,79,pop
fergie,2006,76,pop
mark ronson,2007,0,pop
plain white t's,2005,78,pop
justin timberlake,2006,70,pop
gwen stefani,2006,71,pop
timbaland,2007,80,pop
nelly furtado,2006,81,pop
pop,Pop,Pop,pop
alex gaudino,2007,73,electronic
september,2007,65,pop
akon,2006,58,pop
timbaland,2007,70,pop
50 cent,2007,67,pop
eric prydz,2007,0,pop
fedde le grand,2015,0,pop
ciara,2006,68,pop
kanye west,2007,54,hip-hop
beyoncé,2007,64,pop
gym class heroes,2007,59,pop
akon,2006,53,pop
soulja boy,2007,74,pop
fat joe,2006,59,pop
p!nk,2006,0,pop
rihanna,2008,69,pop
lloyd,2007,62,pop
kanye west,2007,47,hip-hop
pop,Pop,Pop,pop
linkin park,2007,77,rock
keyshia cole,2007,60,pop
chris brown,2007,68,pop
shop boyz,2007,61,pop
finger eleven,2007,73,rock
justin timberlake,2006,66,pop
mims,2007,59,pop
fabolous,2007,62,pop
seether,2007,73,rock
take that,2006,64,pop
arctic monkeys,2007,67,rock
justin timberlake,2006,72,pop
fergie,2006,64,pop
linkin park,2007,73,rock
my chemical romance,2006,80,rock
calvin harris,2007,57,pop
sugababes,2007,66,pop
avril lavigne,2007,75,pop
ne-yo,2007,74,pop
daughtry,2016,45,rock
unk,2013,48,pop
lloyd,2007,70,pop
klaxons,2007,65,rock
t-pain,2007,3,pop
baby boy da prince,2006,59,pop
fergie,2006,63,pop
omarion,2006,57,pop
pretty ricky,2007,57,pop
nickelback,2005,69,rock
fall out boy,2007,76,rock
justin timberlake,2006,57,pop
all time low,2007,76,rock
amy winehouse,2006,76,soul
keyshia cole,2007,58,pop
ciara,2006,56,pop
enrique iglesias,2007,45,pop
t2,2017,59,electronic
robyn,2005,36,pop
maroon 5,2007,62,pop
fall out boy,2007,68,rock
paramore,2007,72,rock
hinder,2019,30,rock
huey,2006,52,pop
foo fighters,2007,78,rock
plies,2007,61,pop
kaiser chiefs,2007,67,rock
mark ronson,2007,46,pop
bow wow,2006,57,pop
jim jones,2006,0,pop
the red jumpsuit apparatus,2006,74,pop
mika,2006,69,pop
christina aguilera,2006,66,pop
sean kingston,2007,78,pop
akon,2006,52,pop
james blunt,2007,68,pop
carrie underwood,2005,76,pop
just jack,2006,52,electronic
t-pain,2007,2,pop
bone thugs-n-harmony,2007,61,pop
avril lavigne,2007,68,pop
rich boy,2007,57,pop
mika,2006,57,pop
manic street preachers,2007,53,rock
pop,Pop,Pop,pop
pop,Pop,Pop,pop
boys like girls,2007,62,pop
take that,2007,58,pop
j. holiday,2007,64,pop
red hot chili peppers,2006,79,rock
ludacris,2006,51,pop
flo rida,2008,80,pop
katy perry,2008,73,pop
rihanna,2008,74,pop
alicia keys,2007,77,pop
timbaland,2007,74,pop
ne-yo,2008,71,pop
chris brown,2007,70,pop
beyoncé,2008,66,pop
kardinal offishall,2008,75,pop
madcon,2007,70,pop
september,2007,65,pop
rihanna,2008,76,pop
guru josh project,2011,1,hip-hop
britney spears,2007,61,pop
lil wayne,2008,69,pop
basshunter,2008,63,pop
kanye west,2007,52,hip-hop
madonna,2009,71,pop
katy perry,2008,73,pop
rihanna,2008,77,pop
snoop dogg,2007,56,pop
akon,2008,69,pop
britney spears,2008,76,pop
eric prydz,2008,65,pop
kelly rowland,2010,34,pop
jeezy,2008,69,pop
madonna,2008,57,pop
the pussycat dolls,2008,72,pop
will.i.am,2007,46,pop
soulja boy,2007,74,pop
britney spears,2007,64,pop
t.i.,2008,75,pop
ne-yo,2008,65,pop
lil wayne,2008,69,pop
colby o'donis,2008,61,pop
miley cyrus,2007,0,pop
basshunter,2008,65,pop
chris brown,2007,68,pop
finger eleven,2007,73,rock
alesha dixon,2008,51,pop
dizzee rascal,2011,68,pop
gabriella cilmi,2008,56,soul
jack white,2007,56,rock
plies,2007,66,pop
the pussycat dolls,2008,64,pop
sean kingston,2008,65,pop
